Frequency(Hz),Magnitude(dB),Phase(deg)
270.164,-2.6898963955731006,17.039728
273.55,-2.7357103955731077,15.402285
276.977,-2.7809763955731057,13.745282
280.448,-2.825341395573105,12.084999
283.962,-2.869431395573102,10.391987
287.52,-2.9122623955731086,8.680614
291.122,-2.9546743955731074,6.94367
294.77,-2.996239395573099,5.206506
298.464,-3.0372623955731086,3.430658
302.204,-3.077668395573099,1.636941
305.99,-3.1176383955731097,-0.174562
309.824,-3.156761395573099,-2.009534
313.706,-3.1947253955731014,-3.865077
317.637,-3.231346395573098,-5.741276
321.617,-3.268303395573099,-7.648238
325.647,-3.304947395573109,-9.564953
329.727,-3.3416223955731112,-11.511611
333.859,-3.3769613955731046,-13.486875
338.042,-3.412438395573105,-15.49506
342.278,-3.446778395573105,-17.507452
346.567,-3.4805993955731083,-19.564104
350.909,-3.5143133955731116,-21.63764
355.306,-3.548004395573102,-23.748579
359.758,-3.5810323955731036,-25.866402
364.266,-3.6125493955731116,-28.030344
368.83,-3.6434633955731073,-30.206604
373.452,-3.6742403955731078,-32.428432
378.131,-3.704880395573099,-34.668385
382.869,-3.7340013955731024,-36.950592
387.666,-3.761238395573102,-39.243683
392.524,-3.7883233955731015,-41.574879
397.442,-3.814316395573101,-43.92807
402.422,-3.8397603955731086,-46.317245
407.465,-3.8648233955731115,-48.721909
412.57,-3.889199395573101,-51.16605
417.74,-3.912224395573105,-53.640793
422.974,-3.933296395573109,-56.163399
428.274,-3.955231395573108,-58.705402
433.64,-3.977845395573098,-61.289486
439.074,-4.000649395573106,-63.889549
444.575,-4.022446395573098,-66.459801
450.146,-4.043213395573105,-69.138298
455.786,-4.063668395573103,-71.830101
461.497,-4.084351395573108,-74.55661
467.28,-4.103813395573098,-77.308952
473.135,-4.122650395573103,-80.089737
479.063,-4.139923395573106,-82.934624
485.066,-4.155838395573099,-85.796501
491.144,-4.171021395573106,-88.678596
497.298,-4.186219395573104,-91.62101
503.529,-4.201050395573105,-94.632881
509.839,-4.215111395573103,-97.723129
516.227,-4.228592395573102,-100.738663
522.695,-4.24242439557311,-103.900497
529.245,-4.256554395573104,-107.055161
535.876,-4.271378395573109,-110.205299
542.591,-4.284691395573105,-113.482483
549.389,-4.296746395573109,-116.692406
556.273,-4.307129395573099,-120.044769
563.243,-4.316849395573101,-123.398888
570.301,-4.326195395573109,-126.800972
577.447,-4.3346643955731,-130.206345
584.682,-4.34169039557311,-133.685593
592.008,-4.347267395573098,-137.28624
599.426,-4.351677395573105,-140.817062
606.937,-4.355606395573105,-144.426468
614.542,-4.358918395573099,-148.159363
622.242,-4.36164939557311,-151.898254
630.039,-4.36283139557311,-155.711029
